ev_stand,ev_hit,ev_double,realized_units,stand_shadow_units,hit_shadow_units
+1.000000,+1.000000,+0.388430,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.860335,+1.000000,+1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,+0.061224,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.451327,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.617910,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.765957,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.698462,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.543750,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.908228,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.048232,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.398693,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.548173,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.262799,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.930556,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.765957,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.928058,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.783883,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.067669,+1.000000,+1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.624031,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.739130,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.548387,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.717842,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.711864,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.549784,+0.000000,+0.000000,+0.000000
+0.000000,+0.000000,-0.392070,+0.000000,+0.000000,+0.000000
-1.000000,+0.000000,-0.707207,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.924528,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.786408,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.386861,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.304668,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.158291,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.226463,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.069767,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.622047,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.776000,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.478142,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.941828,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.539326,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.925926,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.075581,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.471642,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.781818,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.366154,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.155763,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.200000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.723473,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.421569,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.576159,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.925926,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.712329,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.792254,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.397849,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.934307,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.866667,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.582707,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.931298,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.724409,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.861224,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.766667,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.927966,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+0.367965,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.374449,+0.000000,+0.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
